state,town,listings,median_actual_price,median_predicted_price,median_price_gap_percent,data_quality_review_count,potential_opportunity_count,close_to_estimate_count,above_estimate_count
Lagos,Ojodu,10,35000000.000000015,38137552.7337811,-0.16068135467848876,0,5,2,3
Lagos,Maryland,10,87500000.00000004,67832447.66997571,0.20552279709345256,0,1,4,5
Lagos,Ogudu,10,107500000.00000012,64033532.19942381,0.8605824243359892,0,1,1,8
Lagos,Ojo,9,26999999.999999993,32920073.62677662,-0.2075052719113387,1,4,1,3
Abuja,Kaura,9,85000000.00000004,76155129.20452335,-0.11140219779874723,0,1,6,2
Ogun,Magboro,9,24999999.999999963,20745883.11277698,0.5371536142798273,0,3,1,5
Abuja,Wuse 2,9,190000000.00000027,94147970.30716576,1.1487261591213838,0,0,0,9
Imo,Owerri West,8,55000000.00000009,53633665.24843089,0.24333634426331568,0,4,0,4
Lagos,Ayobo,7,13499999.999999993,30791292.778380774,-0.5128492945079646,1,5,1,0
Lagos,Epe,7,12000000.000000007,14240267.513683995,-0.159540752043169,0,3,4,0
Anambara,Ajah,7,35000000.000000015,34053288.53409257,-0.00560965751349297,0,2,2,3
Ogun,Abeokuta South,7,27999999.99999999,28128024.690180782,0.03803058874902737,0,1,3,3
Lagos,Amuwo Odofin,7,99999999.99999991,98097464.8290894,0.04758305195934762,0,2,2,3
Oyo,Oluyole,7,31999999.999999955,19683736.491173875,0.09412684789186704,0,2,2,3
Lagos,Ilupeju,7,119999999.9999999,55711394.25919268,0.6818722130432937,0,0,0,7
Ogun,Ado-Odo/Ota,6,4249999.999999999,14110942.201661669,-0.700410634609269,0,5,1,0
Abuja,Kuje,6,14250000,27290460.28931649,-0.6430084742885009,2,4,0,0
Lagos,Ifako-Ijaiye,6,12499999.999999985,33221361.79543956,-0.43108499210635143,0,4,2,0
Ogun,Ibafo,6,17000000.000000007,37282406.641611814,-0.407147991836856,0,4,1,1
Abuja,Karsana,6,57500000.00000001,66796116.41729737,-0.15060950692555541,0,2,3,1
Abuja,Garki,6,169999999.99999997,62913915.88926141,0.42388493648681513,0,1,1,4
Abuja,Kado,6,145000000.00000006,110728244.129414,0.49764798266480686,1,0,1,4
Anambara,Lekki,6,76500000.00000003,74171817.87192796,0.5778674004858444,0,1,2,3
Abuja,Kurudu,5,24999999.999999963,39814150.45256054,-0.5588472005230702,0,4,1,0
