bedrooms,bathrooms,toilets,parking_space,title,town,state,price,price_raw,price_winsorized,log_price,total_rooms,total_wet_rooms,bathroom_bedroom_ratio,toilet_bedroom_ratio,parking_per_bedroom,has_parking,market_hub,price_band
5,5,6,3,Detached Duplex,Ikoyi,Lagos,375000000,375000000,375000000,19.74243658660135,16,11,1,1.2,0.6,Has parking,Prime commercial hub,5
5,7,8,6,Detached Duplex,Lekki,Lagos,300000000,300000000,300000000,19.519293035953808,20,15,1.4,1.6,1.2,Has parking,Prime commercial hub,5
6,6,7,3,Detached Duplex,Isheri North,Ogun,140000000,140000000,140000000,18.757152987716434,19,13,1,1.1666666666666667,0.5,Has parking,Major growth corridor,4
1,5,5,4,Detached Bungalow,Mushin,Lagos,30000000,30000000,30000000,17.216707972959764,11,10,5,5,4,Has parking,Prime commercial hub,1
3,3,4,4,Block Of Flats,Ejigbo,Lagos,55000000,55000000,55000000,17.822843761378564,10,7,1,1.3333333333333333,1.3333333333333333,Has parking,Prime commercial hub,2
9,9,1,1,Detached Duplex,Isolo,Lagos,70000000,70000000,70000000,18.064005814299346,19,10,1,0.1111111111111111,0.1111111111111111,Has parking,Prime commercial hub,3
4,4,5,4,Terraced Duplexes,Guzape District,Abuja,65000000,65000000,65000000,17.989897843244528,13,9,1,1.25,1,Has parking,Prime commercial hub,3
3,2,2,4,Block Of Flats,Oredo,Edo,25000000,25000000,25000000,17.034386422832473,7,4,0.6666666666666666,0.6666666666666666,1.3333333333333333,Has parking,Emerging market,1
5,5,6,8,Detached Duplex,Lokogoma District,Abuja,120000000,120000000,120000000,18.603002309079653,16,11,1,1.2,1.6,Has parking,Prime commercial hub,4
4,5,5,3,Terraced Duplexes,Ikoyi,Lagos,240000000,240000000,240000000,19.29614948547293,14,10,1.25,1.25,0.75,Has parking,Prime commercial hub,5
3,2,2,2,Detached Bungalow,Agege,Lagos,8000000,8000000,8000000,15.894952224644102,7,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,Has parking,Prime commercial hub,1
3,5,3,4,Terraced Duplexes,Lekki,Lagos,32000000,32000000,32000000,17.281246492014,11,8,1.6666666666666667,1,1.3333333333333333,Has parking,Prime commercial hub,1
4,4,4,4,Detached Bungalow,Lokogoma District,Abuja,30000000,30000000,30000000,17.216707972959764,12,8,1,1,1,Has parking,Prime commercial hub,1
3,3,4,4,Detached Bungalow,Ojodu,Lagos,16000000,16000000,16000000,16.588099342704055,10,7,1,1.3333333333333333,1.3333333333333333,Has parking,Prime commercial hub,1
4,4,5,3,Terraced Duplexes,Lekki,Lagos,85000000,85000000,85000000,18.258161826219297,13,9,1,1.25,0.75,Has parking,Prime commercial hub,3
4,4,5,4,Terraced Duplexes,Ajah,Lagos,45000000,45000000,45000000,17.622173069956816,13,9,1,1.25,1,Has parking,Prime commercial hub,2
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,60000000,60000000,60000000,17.909855136853043,13,9,1,1.25,0.5,Has parking,Prime commercial hub,2
5,5,6,4,Detached Duplex,Ikoyi,Lagos,600000000,600000000,600000000,20.21244021484709,16,11,1,1.2,0.8,Has parking,Prime commercial hub,5
3,3,4,4,Terraced Duplexes,Ajah,Lagos,34900000,34900000,34900000,17.36799741582595,10,7,1,1.3333333333333333,1.3333333333333333,Has parking,Prime commercial hub,2
3,3,3,4,Detached Bungalow,Ibadan,Oyo,18000000,18000000,18000000,16.705882371415992,9,6,1,1,1.3333333333333333,Has parking,Major growth corridor,1
5,4,5,3,Detached Duplex,Ajah,Lagos,68000000,68000000,68000000,18.035018277846262,14,9,0.8,1,0.6,Has parking,Prime commercial hub,3
2,5,5,4,Terraced Duplexes,Ajah,Lagos,35000000,35000000,35000000,17.370858648025116,12,10,2.5,2.5,2,Has parking,Prime commercial hub,2
5,5,6,4,Detached Duplex,Lekki,Lagos,1350000000,1350000000,1350000000,21.02337043013749,16,11,1,1.2,0.8,Has parking,Prime commercial hub,5
4,4,5,3,Terraced Duplexes,Ikoyi,Lagos,380000000,380000000,380000000,19.755681813316283,13,9,1,1.25,0.75,Has parking,Prime commercial hub,5
5,6,7,5,Detached Duplex,Lekki,Lagos,120000000,120000000,120000000,18.603002309079653,18,13,1.2,1.4,1,Has parking,Prime commercial hub,4
